Nome,Endereço,Número,Complemento,Bairro,CEP,Telefone
Ana Silva,Rua das Flores,123,Apt. 202,Jardim América,12345-678,(11) 91234-5678
João Pereira,Av. Central,456,Bloco B,Centro,87654-321,(21) 99876-5432
Maria Oliveira,Rua Oscar Freire,500,Casa,Pinheiros,05409-010,(31) 98765-4321
Carlos Souza,Alameda das Rosas,101,Fundos,Bela Vista,24680-135,(41) 91234-5678
Fernanda Costa,Praça da Liberdade,222,Apt. 505,Liberdade,11223-445,(51) 95678-1234
Pedro Alves,Estrada Velha,333,Galpão,Industrial,55667-889,(61) 93456-7890
Juliana Mendes,Rua do Sol,444,Sobrado,Boa Esperança,99887-665,(71) 94567-1234
Marcos Antunes,Avenida das Palmeiras,555,Casa 1,Vila Rica,33445-667,(81) 92345-6789
Renata Moreira,Travessa das Orquídeas,666,Loja 12,Jardim Botânico,77654-321,(91) 97865-4321
Roberto Almeida,Rua do Horizonte,777,Apt. 101,Alto da Serra,44556-778,(31) 98712-3456
